gen	time	h	d
0	8737	99.54449	25.437386
1	8463	99.5637	25.856417
2	8422	99.8996	25.37624
3	8521	99.71418	25.096432
4	8611	99.91425	25.517025
5	8519	100.2133	25.609194
6	8488	100.652695	26.046492
7	8434	100.23997	25.654839
8	8471	100.70747	25.588179
9	8565	100.35233	25.465029
10	8580	100.766495	25.06083
11	8718	101.020996	24.663492
12	8828	100.59307	24.990341
13	8668	100.496216	24.62336
14	8899	100.23634	24.427412
15	9042	100.73273	24.23017
16	9003	100.77363	24.447773
17	8894	101.012146	24.20959
18	9055	101.251816	24.699322
19	8799	100.88279	24.68349
20	8774	101.03965	24.387985
21	8999	100.93417	24.422514
22	9031	100.825165	24.836065
23	8862	101.30723	25.037031
24	8667	100.9748	25.487383
25	8544	101.44358	25.944162
26	8457	100.994446	25.729353
27	8530	100.76677	25.715103
28	8489	100.37753	25.713703
29	8472	100.536674	25.76351
30	8472	100.76062	25.59715
31	8499	100.75072	25.483702
32	8601	100.2981	25.441133
33	8629	100.079475	25.850866
34	8349	100.3927	26.335796
35	8305	100.19941	26.049303
36	8419	100.27298	26.470417
37	8258	100.067604	26.81693
38	8175	100.18383	27.21475
39	8019	99.69918	27.508602
40	7922	99.29026	27.793777
41	7823	98.94645	28.069555
42	7761	98.89881	28.24255
43	7663	98.86714	28.220882
44	7618	98.98387	28.1354
45	7716	98.695755	28.404892
46	7616	98.66526	28.726278
47	7476	98.88869	28.95148
48	7444	98.67863	29.030567
49	7434	98.81518	29.487467
50	7352	98.64846	29.284527
51	7425	98.79501	29.269741
52	7432	98.85383	29.023296
53	7414	99.30399	28.891108
54	7525	99.504555	28.491936
55	7588	99.982635	28.037422
56	7842	99.90106	28.344942
57	7782	100.24464	28.556238
58	7690	100.60117	28.863508
59	7689	101.10216	28.42188
60	7809	101.58306	28.3068
61	7827	101.120056	28.029034
62	7861	100.64336	28.31311
63	7715	100.15503	28.781971
64	7664	100.60099	28.975334
65	7652	100.5469	28.592903
66	7724	100.421455	28.275757
67	7708	100.55921	28.124105
68	7852	100.199196	28.195475
69	7822	100.37315	28.083303
70	7785	100.23606	28.532536
71	7714	100.34645	28.45662
72	7756	100.76654	28.524458
73	7726	101.08124	28.649952
74	7723	101.5539	28.179382
75	7890	101.892944	27.956985
76	7925	101.55404	28.252676
77	7898	101.70999	28.310417
78	7854	101.25861	28.530611
79	7713	101.021324	28.55053
80	7735	100.57678	28.232052
81	7750	100.92597	27.847233
82	7956	101.08806	27.783628
83	7926	101.24157	27.906506
84	7923	101.17258	27.81897
85	8024	101.51724	27.497652
86	8065	101.71164	27.72592
87	7937	102.14169	27.46552
88	8189	102.13592	27.5314
89	7999	102.272705	27.50247
90	8163	102.24103	27.034658
91	8160	101.955734	26.59638
92	8387	102.271194	26.310581
93	8526	101.83483	26.370968
94	8397	102.084984	26.492949
95	8389	102.02753	26.320366
96	8368	102.09611	25.924463
97	8508	102.589935	25.907808
98	8669	102.31954	25.45536
99	8733	102.77218	25.336346
100	8774	102.705414	25.540926
101	8649	102.6642	25.453411
102	8698	102.70992	25.028553
103	9007	102.21499	24.68911
104	8956	102.1429	24.798813
105	8937	102.088844	24.303293
106	9061	102.46232	24.227
107	9178	102.53271	24.54764
108	9051	102.78435	24.195093
109	9251	103.086205	24.295074
110	9115	103.33611	24.147968
